"","best_model_1","best_model_2","best_model_3","best_model_4","best_model_5","best_model_6","best_model_7"
"AC","star","star","arima","arima","star","arima","arima"
"AL","lstvar","ets","naive","star","naive","naive","ets"
"AM","arima","arima","todos_media","rw","lstvar","lstvar","var"
"AP","arima","arima","arima","arima","arima","rw","arima"
"BA","arima","var","arima","arima","arima","var","arima"
"CE","star","todos_mediana","rw","arima","todos_media","arima","arima"
"DF","naive","naive","todos_mediana","lstvar","todos_mediana","todos_media","todos_mediana"
"ES","arima","star","lstvar","arima","ets","naive","ets"
"GO","rw","ets","arima","ets","ets","ets","naive"
"MA","lstvar","lstvar","lstvar","todos_media","star","naive","lstvar"
"MG","naive","naive","ets","todos_media","naive","naive","naive"
"MS","lstvar","star","todos_media","lstvar","todos_media","star","arima"
"MT","naive","naive","naive","rw","naive","naive","naive"
"PA","todos_media","todos_media","todos_media","todos_mediana","var","naive","todos_media"
"PB","star","arima","todos_media","star","rw","naive","rw"
"PE","var","lstvar","naive","naive","naive","naive","naive"
"PI","lstvar","arima","ets","star","todos_mediana","ets","rw"
"PR","todos_media","rw","naive","star","arima","star","naive"
"RJ","naive","star","lstvar","var","ets","todos_mediana","arima"
"RN","lstvar","lstvar","naive","naive","naive","naive","naive"
"RO","todos_media","todos_media","var","rw","star","star","var"
"RR","naive","ets","todos_media","arima","naive","ets","var"
"RS","naive","todos_media","naive","arima","rw","naive","naive"
"SC","ets","var","ets","ets","todos_mediana","todos_mediana","arima"
"SE","arima","rw","star","arima","todos_mediana","todos_media","var"
"SP","rw","ets","ets","lstvar","lstvar","todos_media","rw"
"TO","star","arima","rw","arima","arima","todos_mediana","arima"
