"","best_model_1","best_model_2","best_model_3","best_model_4","best_model_5","best_model_6","best_model_7"
"AC","star","arima","arima","var","star","arima","arima"
"AL","lstvar","star","ets","naive","naive","naive","naive"
"AM","arima","arima","todos_mediana","ets","lstvar","lstvar","var"
"AP","arima","todos_media","star","todos_media","rw","star","star"
"BA","arima","var","todos_media","var","var","var","var"
"CE","star","star","arima","arima","arima","ets","arima"
"DF","naive","todos_mediana","var","arima","arima","var","arima"
"ES","arima","star","arima","ets","naive","lstvar","naive"
"GO","rw","ets","naive","ets","ets","ets","ets"
"MA","lstvar","lstvar","lstvar","naive","lstvar","naive","lstvar"
"MG","naive","naive","ets","lstvar","naive","naive","naive"
"MS","lstvar","lstvar","todos_mediana","arima","arima","star","arima"
"MT","naive","naive","naive","todos_mediana","naive","naive","naive"
"PA","todos_media","todos_media","ets","var","todos_media","todos_media","todos_media"
"PB","star","star","lstvar","naive","lstvar","naive","lstvar"
"PE","var","naive","naive","naive","naive","naive","naive"
"PI","lstvar","arima","ets","naive","todos_mediana","ets","ets"
"PR","todos_media","todos_media","star","star","arima","arima","todos_mediana"
"RJ","naive","var","arima","var","var","var","ets"
"RN","lstvar","lstvar","naive","arima","naive","naive","naive"
"RO","todos_media","todos_media","naive","rw","star","ets","todos_media"
"RR","naive","rw","todos_media","naive","todos_media","todos_media","todos_media"
"RS","naive","ets","naive","naive","ets","ets","ets"
"SC","ets","rw","ets","ets","rw","todos_mediana","arima"
"SE","arima","arima","star","ets","todos_mediana","star","lstvar"
"SP","rw","rw","arima","todos_mediana","lstvar","lstvar","lstvar"
"TO","star","arima","rw","star","star","rw","star"
