"ESTADO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"AC",0.00876183356184315,0.0185930981807105,0.115025733415805,0.0776229295353871,0.0147903323613517,0.0258867053598437,0.0455974738353967
"AL",0.0323422636786457,0.00532361132509372,0.00696502624824367,0.00828509326024178,0.0548267755163519,0.0447314594865772,-0.0383069631102497
"AM",0.0173115993719357,-0.00228904044363951,0.0129837028570165,0.00482942367500809,-0.0130184658806119,-0.0716723060254471,0.0163561554331807
"AP",0.101690643848987,0.10007190282208,0.0346917221043778,0.00228531669912871,0.202899198955459,-0.00683445380148664,0.0621070875728512
"BA",-0.0252934628427025,-0.0146875833615633,0.0538153552462994,0.01244581716627,0.0301670244284412,-0.0212400872808877,-0.00211676322929968
"CE",0.000581638041475199,0.0104487791540295,-0.0148532406693341,-0.000925047784295691,-0.0142009543510329,-0.0206629517312079,0.0186412952267505
"DF",0.0897996047483862,-0.00571625063311458,0.00118279863246221,-0.00553433917492088,-0.00103239093768668,-0.0116693669394259,0.00274469723069104
"ES",0.00381531840243889,0.0065484302291428,0.0056796896014373,0.00494850055974092,0.00962713206375938,0.0064614332979769,-0.00139703872288942
"GO",-0.00629381268704219,0.00147049613315288,0.0139617003731851,0.0156393501390803,-0.0134986488975165,0.0365707245129338,0.0109400001304796
"MA",0.016520658724661,-0.0172777369794661,-0.015361761338158,0.0102766279687245,0.000499465439813253,0.0209288039161675,-0.00817362927084197
"MG",-0.00319577848784658,-0.0117897896312861,-0.0440056770082486,-0.00221901604244489,-0.0090893021360283,-0.0496460280367678,-0.0227581814686123
"MS",0.00458761311011068,0.00741996774447981,-0.000145697337805056,-0.0141538905641569,0.0190517847715122,-0.00482048911282995,-0.00638155828256026
"MT",0.0429704635693757,-0.0131956260776737,-0.0650216768278108,0.0488515713227759,-0.0337206464505672,-0.0679192540043618,-0.0181491789913918
"PA",0.0140589003326202,-0.0165797011791386,-0.0165933967453045,-0.00163914308658889,-0.000602373371225536,0.00923279187521149,-0.00476636471771276
"PB",0.0554701025868745,-0.00629936245445863,-0.0087220965042813,0.00117441834777491,-0.0102857401099955,0.0606404712871781,-0.010406379187781
"PE",0.0552121596844714,-0.0199105604239937,-0.00919869456744027,-0.00276188500496433,0.0276306115479415,-0.0126480336441434,0.00801875870151352
"PI",0.0655221263390875,0.017270594309389,-0.0151982636096812,0.0140877289168031,0.00793056168733815,-0.090597761982911,-0.00246312927480785
"PR",-0.00640703043476766,0.00340157498218386,0.0556570359491081,0.00892054703353156,-0.000251396243505004,0.0414912895185273,0.00737488308440465
"RJ",-0.00710578912252402,0.000697151366329554,0.124940158938127,0.0104707297639261,-0.017170893847655,-0.00406782277805899,-0.0019275389976518
"RN",-0.0283993643480993,0.000233680386217621,-0.0215543409866115,-0.0403644977523482,-0.088640457468536,-0.108189428027009,-0.0506948562668344
"RO",0.0170232189391063,-0.0119336845913302,-0.0122748308508524,0.0290741986973918,0.00969100823429113,-0.00430481078127354,-0.0198636115346818
"RR",-0.00913277612604821,0.0017738790659303,-0.00398671226985071,0.0682399309874013,0.00708256739792721,0.00560620984919722,0.00601340249765081
"RS",0.00859862130142052,-0.00180353017113427,-0.00685987997398675,-0.000423972533780308,-0.0341312330292893,-0.00253452776401408,-0.00419588949122612
"SC",0.00515953047014886,0.00180178608486084,0.00284133278441159,0.0182480676876785,-0.0061971135047195,0.00667462650945612,0.000517901432414045
"SE",0.0534239856816905,0.0160101798276212,-0.001377159719045,0.00526662699391549,-0.00214034683823007,-0.0103495698830192,-0.00261275037341024
"SP",0.0108972350489708,0.0135972778463804,0.033151654935879,7.75364838572934e-05,-0.0245030465896651,-0.00430099403877993,-0.00132580886159018
"TO",0.0178607070711828,-0.0198453236032908,0.00100280074371565,0.0681856462126434,0.00187563005570391,0.00142056937601652,-0.0303685730418834
